Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Albany State University,0,0,0,0,0.010,0.060,0.096,0.000,0.050,0.036,-0.096,,-0.003,,,,,0.050,0.036,-0.096,,,
Alvernia University,0,0,0,10,0.075,0.029,0.077,0.213,-0.045,0.048,0.135,,0.001,,,,,-0.045,0.048,,,,
Auburn University,0,0,1,0,0.120,0.057,0.088,0.032,-0.063,0.030,-0.055,,-0.059,0.030,,,,-0.063,,-0.055,,0.030,
Boston University,0,0,0,0,0.077,0.068,0.060,0.015,-0.009,-0.007,-0.045,,-0.021,,,,,-0.009,-0.007,-0.045,,,
Caldwell University,0,1,0,0,0.070,0.063,0.051,0.000,-0.008,-0.012,-0.051,,-0.031,-0.008,,,,,-0.012,-0.051,-0.008,,
Calvin University,0,0,1,0,0.030,0.042,0.079,0.100,0.011,0.037,0.021,,0.016,0.037,,,,0.011,,0.021,,0.037,
Cameron University,0,0,0,-1,0.071,0.062,0.048,0.047,-0.010,-0.014,-0.001,-0.001,-0.012,,,,-0.001,-0.010,-0.014,,,,
Case Western Reserve University,0,0,0,0,0.083,0.058,0.066,0.080,-0.025,0.009,0.014,,-0.001,,,,,-0.025,0.009,0.014,,,
College of Charleston,0,1,0,-1,0.024,0.027,0.045,0.072,0.004,0.017,0.027,0.027,0.017,0.004,,,0.027,,0.017,,0.004,,
Colorado School of Mines,0,0,0,1,0.088,0.062,0.077,0.071,-0.027,0.016,-0.006,,-0.005,-0.006,,,,-0.027,0.016,,,,-0.006
CUNY York College,0,0,0,1,0.107,0.097,0.112,0.117,-0.010,0.016,0.005,,0.003,0.005,,,,-0.010,0.016,,,,0.005
Eastern Washington University,0,0,0,0,0.050,0.054,0.063,0.070,0.004,0.009,0.008,,0.007,,,,,0.004,0.009,0.008,,,
Emerson College,0,0,0,0,0.028,0.073,0.060,0.076,0.045,-0.013,0.017,,0.016,,,,,0.045,-0.013,0.017,,,
Fairmont State University,0,1,0,0,0.052,0.044,0.078,0.059,-0.008,0.034,-0.019,,0.007,-0.008,,,,,0.034,-0.019,-0.008,,
Fayetteville State University,0,1,0,0,0.110,0.050,0.087,0.099,-0.060,0.037,0.012,,0.024,-0.060,,,,,0.037,0.012,-0.060,,
Fort Valley State University,0,0,1,-1,0.054,0.093,0.000,0.000,0.039,-0.093,0.000,0.000,0.039,-0.093,,,0.000,0.039,,,,-0.093,
Hampton University,0,0,1,-1,0.027,0.026,0.049,0.110,-0.001,0.023,0.061,0.061,-0.001,0.023,,,0.061,-0.001,,,,0.023,
Illinois Institute of Technology,0,0,0,0,0.041,0.086,0.058,0.127,0.045,-0.028,0.069,,0.029,,,,,0.045,-0.028,0.069,,,
Ithaca College,0,1,0,0,0.045,0.051,0.077,0.063,0.006,0.026,-0.014,,0.006,0.006,,,,,0.026,-0.014,0.006,,
James Madison University,0,0,0,1,0.026,0.037,0.056,0.057,0.011,0.019,0.001,,0.015,0.001,,,,0.011,0.019,,,,0.001
Kennesaw State University,0,1,1,0,0.035,0.059,0.051,0.078,0.024,-0.009,0.027,,0.027,0.008,,,,,,0.027,0.024,-0.009,
Keuka College,0,1,0,0,0.097,0.100,0.169,0.095,0.003,0.069,-0.073,,-0.002,0.003,,,,,0.069,-0.073,0.003,,
Lamar University,0,1,0,0,,0.051,0.035,0.075,0.051,-0.016,0.040,,0.012,0.051,,,,,-0.016,0.040,0.051,,
Lasell University,0,1,0,1,0.071,0.090,0.025,0.031,,-0.065,0.006,,-0.065,0.003,,,,,-0.065,,0.000,,0.006
Lesley University,0,1,0,0,0.047,0.031,0.055,0.042,-0.017,0.024,-0.013,,0.005,-0.017,,,,,0.024,-0.013,-0.017,,
Long Island University,0,-1,1,1,0.063,0.092,0.073,0.081,0.029,-0.019,0.008,0.029,,-0.006,0.029,,,,,,,-0.019,0.008
Marshall University,0,0,1,0,0.059,0.061,0.071,0.100,0.001,0.010,0.029,,0.015,0.010,,,,0.001,,0.029,,0.010,
Marymount University,0,0,0,1,0.054,0.056,0.051,0.036,0.002,-0.005,-0.014,,-0.002,-0.014,,,,0.002,-0.005,,,,-0.014
Metropolitan State University of Denver,0,1,1,0,0.045,0.055,0.074,0.079,0.010,0.019,0.005,,0.005,0.015,,,,,,0.005,0.010,0.019,
Mount Vernon Nazarene University,0,1,-1,0,0.136,0.054,0.024,0.135,-0.082,-0.031,0.111,-0.031,0.111,-0.082,,-0.031,,,,0.111,-0.082,,
New Jersey City University,0,0,0,0,0.049,0.073,0.042,0.077,0.023,-0.030,0.035,,0.009,,,,,0.023,-0.030,0.035,,,
Ohio Dominican University,0,1,1,-1,0.042,0.052,0.017,0.022,0.010,-0.035,0.005,0.005,,-0.013,,,0.005,,,,0.010,-0.035,
Portland State University,0,1,0,0,0.067,0.053,0.050,0.080,-0.014,-0.003,0.030,,0.014,-0.014,,,,,-0.003,0.030,-0.014,,
Radford University,0,0,0,1,0.030,0.037,0.053,0.054,0.007,0.016,0.001,,0.011,0.001,,,,0.007,0.016,,,,0.001
Rhode Island College,0,0,0,0,0.107,0.073,0.050,0.073,-0.033,-0.023,0.023,,-0.011,,,,,-0.033,-0.023,0.023,,,
San Francisco State University,0,1,-1,1,0.050,0.042,0.085,0.056,-0.008,0.043,-0.030,0.043,,-0.019,,0.043,,,,,-0.008,,-0.030
Schreiner University,0,0,0,1,0.023,0.029,0.066,0.077,0.006,0.037,0.011,,0.022,0.011,,,,0.006,0.037,,,,0.011
Sonoma State University,0,0,0,0,0.055,0.042,0.064,0.083,-0.013,0.022,0.018,,0.009,,,,,-0.013,0.022,0.018,,,
South Dakota School of Mines and Technology,0,0,0,1,0.077,0.068,0.045,0.054,-0.009,-0.023,0.009,,-0.016,0.009,,,,-0.009,-0.023,,,,0.009
St. Thomas Aquinas College,0,-1,0,0,0.124,0.045,0.301,,-0.079,0.256,-0.301,-0.079,-0.023,,-0.079,,,,0.256,-0.301,,,
Temple University,0,1,0,0,0.043,0.044,0.040,0.061,0.001,-0.004,,,-0.002,0.001,,,,,-0.004,0.000,0.001,,
Texas Woman's University,0,0,0,0,0.056,0.037,0.078,0.096,-0.018,0.040,0.018,,0.013,,,,,-0.018,0.040,0.018,,,
Thomas Edison State University,0,1,0,0,0.049,0.061,0.047,0.000,0.012,-0.014,-0.047,,-0.030,0.012,,,,,-0.014,-0.047,0.012,,
Troy University,0,0,0,0,0.037,0.034,0.069,0.018,-0.004,0.036,-0.051,,-0.007,,,,,-0.004,0.036,-0.051,,,
Union College,0,0,-1,0,0.049,0.036,0.043,0.089,-0.013,0.007,0.046,0.007,0.017,,,0.007,,-0.013,,0.046,,,
University of Alaska Anchorage,0,0,0,0,0.073,0.072,0.092,0.153,-0.001,0.020,0.061,,0.027,,,,,-0.001,0.020,0.061,,,
University of Central Arkansas,0,0,1,0,0.046,0.057,0.044,0.059,0.010,-0.012,0.015,,0.012,-0.012,,,,0.010,,0.015,,-0.012,
University of Kansas,0,0,0,0,0.037,0.035,0.050,0.032,-0.002,0.015,-0.018,,-0.002,,,,,-0.002,0.015,-0.018,,,
University of Kentucky,0,0,0,0,0.060,0.036,0.046,0.038,-0.024,0.011,-0.008,,-0.007,,,,,-0.024,0.011,-0.008,,,
University of Louisiana at Lafayette,0,0,0,1,0.045,0.039,0.055,0.070,-0.006,0.016,0.015,,0.005,0.015,,,,-0.006,0.016,,,,0.015
University of Maine,0,0,0,1,0.042,0.054,0.067,0.097,0.012,0.012,0.030,,0.012,0.030,,,,0.012,0.012,,,,0.030
University of Mount Union,0,0,0,1,0.059,0.030,0.081,0.000,-0.029,0.051,-0.081,,0.011,-0.081,,,,-0.029,0.051,,,,-0.081
University of North Carolina at Greensboro,0,0,0,0,0.052,0.050,0.055,0.103,-0.002,0.005,0.048,,0.017,,,,,-0.002,0.005,0.048,,,
University of North Carolina Wilmington,0,0,1,0,0.039,0.039,0.037,0.063,0.000,-0.002,0.025,,0.013,-0.002,,,,0.000,,0.025,,-0.002,
University of Portland,0,0,0,0,0.024,0.034,0.033,0.039,0.010,-0.001,0.006,,0.005,,,,,0.010,-0.001,0.006,,,
University of San Diego,0,0,1,0,0.045,0.051,0.037,0.038,0.007,-0.015,0.002,,0.004,-0.015,,,,0.007,,0.002,,-0.015,
University of West Georgia,0,1,0,0,0.062,0.052,0.058,0.074,-0.010,0.005,0.016,,0.011,-0.010,,,,,0.005,0.016,-0.010,,
Virginia Commonwealth University,1,0,0,0,0.050,0.048,0.048,0.056,-0.002,-0.000,0.008,,0.002,,,,,-0.002,-0.000,0.008,,,
Walla Walla University,0,0,-1,0,0.016,0.050,0.024,0.060,0.034,-0.026,0.036,,-0.004,0.070,,-0.026,,0.034,,0.036,,,
Xavier University,0,0,0,1,0.038,0.039,0.030,0.100,0.001,-0.008,0.070,,,,,,,0.001,-0.008,,,,0.070
"All Universities, Average",,,,,0.057,0.053,0.062,0.069,-0.004,0.009,0.005,0.006,0.005,-0.003,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
